-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.035,  0.148
-183.800, 80.197, 0.034,  0.181
-183.800, 80.196, 0.039,  0.214
-183.800, 80.193, 0.113,  0.247
-183.799, 80.185, 0.234,  0.280
-183.799, 80.174, 0.347,  0.313
-183.798, 80.158, 0.497,  0.346
-183.796, 80.136, 0.707,  0.379
-183.794, 80.104, 0.965,  0.412
-183.791, 80.065, 1.172,  0.445
-183.788, 80.021, 1.332,  0.478
-183.785, 79.973, 1.444,  0.511
-183.781, 79.923, 1.513,  0.544
-183.778, 79.872, 1.532,  0.577
-183.774, 79.822, 1.509,  0.610
-183.770, 79.773, 1.480,  0.643
-183.766, 79.726, 1.448,  0.676
-183.763, 79.679, 1.414,  0.709
-183.759, 79.634, 1.380,  0.742
-183.755, 79.590, 1.348,  0.775
-183.752, 79.547, 1.320,  0.808
-183.748, 79.504, 1.296,  0.841
-183.744, 79.462, 1.276,  0.874
-183.741, 79.420, 1.262,  0.907
-183.737, 79.379, 1.253,  0.940
-183.733, 79.337, 1.250,  0.973
-183.729, 79.296, 1.252,  1.006
-183.725, 79.254, 1.258,  1.039
-183.721, 79.212, 1.269,  1.072
-183.717, 79.170, 1.282,  1.105
-183.713, 79.127, 1.297,  1.138
-183.709, 79.083, 1.314,  1.171
-183.704, 79.039, 1.331,  1.204
-183.700, 78.994, 1.347,  1.237
-183.695, 78.949, 1.362,  1.270
-183.691, 78.904, 1.375,  1.303
-183.686, 78.858, 1.387,  1.336
-183.681, 78.811, 1.397,  1.369
-183.676, 78.765, 1.404,  1.402
-183.671, 78.718, 1.410,  1.435
-183.666, 78.671, 1.414,  1.468
-183.660, 78.624, 1.417,  1.501
-183.655, 78.577, 1.419,  1.534
-183.650, 78.530, 1.421,  1.567
-183.644, 78.483, 1.421,  1.600
-183.639, 78.436, 1.422,  1.633
-183.633, 78.389, 1.423,  1.666
-183.628, 78.342, 1.424,  1.699
-183.622, 78.295, 1.425,  1.732
